Id,Delay
668,1456.9
669,2416.9
670,2692.6
671,1320.2
672,4308.5
673,1534
674,2892.6
675,1850.8
676,2956.7
677,1867.8
678,2060.3
679,3526.2
680,3406.5
681,2546.8
682,2399.5
683,3042.8
684,2720
685,3826.9
686,3520.1
687,4274.2
688,4122.5
689,2528.2
690,2430.7
691,1866.6
692,2463
693,2263.9
694,2643.8
695,5333
696,2738.7
697,2507.1
698,2434.4
699,2697.9
700,3395.7
701,1326.9
702,1957.4
703,1929.4
704,2612.8
705,2591.3
706,3701.4
707,4588.4
708,3157.6
709,1564.6
710,2176.3
711,1768.6
712,3051.1
713,4720.1
714,1781.4
715,2441.2
716,3170.6
717,3189.6
718,3823.5
719,2776.9
720,2347.3
721,3117.5
722,3330.3
723,1504.4
724,3757.2
725,3305.1
726,2731.4
727,2279
728,2743.8
729,3593.7
730,1197.2
731,7990.7
732,2184
733,1885.2
734,2325.4
735,2057.9
736,6834.8
737,2843.1
738,2461.6
739,1874.2
740,3515.4
741,3184.8
742,2722.6
743,2508.6
744,3960.8
745,2534.1
746,2779.3
747,2891.3
748,3016.6
749,5240.7
750,2454.9
751,2297.4
752,1793.3
753,2886.1
754,1580.9
755,1461.4
756,2719.5
757,3421.9
758,3057.1
759,3017.5
760,3097.3
761,1256.3
762,2280.4
763,2190.7
764,2876.6
765,5178
766,2351.4
767,3152.9
768,3447.3
769,4854.2
770,2395.2
771,3541.4
772,2497.3
773,1727
774,3346.7
775,2207.6
776,1385.8
777,1975.6
778,2460.6
779,2727.3
780,2467.1
781,5398.6
782,2594.5
783,2397
784,3293.7
785,4360.8
786,2472.1
787,5241.5
788,2165.9
789,5951.7
790,3352.7
791,2541.3
792,2003.9
793,2132.1
794,2274.6
795,2855.6
796,1841
797,1894.9
798,3308
799,1566.9
800,3074.3
801,1329.1
802,4697.6
803,3474.1
804,2385.6
805,2823
806,3276
807,8777.5
808,2507.9
809,2303.4
810,1563.7
811,3171.3
812,3653.6
813,2335.6
814,1312.5
815,1336.9
816,2524.2
817,1447.5
818,3295
819,2056.1
820,3233.1
821,3038.7
822,1462.9
823,4252.5
824,2368.4
825,2662.8
826,1339
827,1940
828,2622.3
829,2469.7
830,3350
831,2591.9
832,1330.3
833,2433.8
834,2317.9
835,6018.5
836,2351.7
837,3208.9
838,1300.2
839,9350.9
840,1494.9
841,1467.9
842,2382.2
843,1459
844,3181.1
845,2338.9
846,2124.1
847,2406.5
848,2067.7
849,3994.2
850,2095.4
851,1901.3
852,2894.4
853,4265.1
854,1656.5
855,2024.7
856,2294.4
857,1681.3
858,1911.9
859,3395.8
860,2191.6
861,2303.7
862,3034.7
863,3948.3
864,2184.8
865,1745.6
866,2754
867,3894.1
868,1814
869,2146.9
870,2248.7
871,2245.8
872,4727.8
873,3455.9
874,1521.4
875,1344
876,1606.2
877,1667.7
878,1741
879,2645.7
880,1652.2
881,2434.7
882,3519.5
883,2941.9
884,3857.6
885,2947.4
886,2034.9
887,2673.9
888,2645.1
889,3429.2
890,3387.5
891,1575.7
892,2228.9
893,1734.1
894,3408.2
895,3258.3
896,2042.1
897,2959.7
898,2596.5
899,1309.4
900,2612.7
901,4235.7
902,2790.8
903,1304.4
904,2394.6
905,2998.8
906,2349.2
907,3849.6
908,3336.3
909,4081.8
910,2499.1
911,2956.4
912,2364.9
913,3651
914,2266.6
915,2524.9
916,2903.7
917,1987.3
918,9463.7
919,2040.3
920,2298.7
921,3647.2
922,2246.2
923,3677.1
924,4456
925,2037.4
926,1608.7
927,3753.1
928,8273.5
929,4679.6
930,3833.2
931,5170.3
932,1466.4
933,2444.9
934,2088.1
935,2322.1
936,2054.4
937,2320.6
938,1849.8
939,2247.8
940,3785.3
941,3033.3
942,2296.7
943,3271.5
944,8209.1
945,3800
946,1126.3
947,2409.7
948,2519.7
949,2476
950,2827.3
951,5825.1
952,1685.1
953,2813
954,2910.5
955,1612
956,2167.5
957,2456.5
958,3547.6
959,3357.2
960,1914.7
961,2622.3
962,2047.2
963,2364.2
964,1972.7
965,4217.2
966,5200.1
967,4386
968,1700.4
969,2045.3
970,4823.2
971,3974.3
972,1786.6
973,2854
974,1275.9
975,2735.8
976,1721.5
977,2749.2
978,1814.2
979,2335.9
980,3271.3
981,1551
982,1405.9
983,2012.1
984,2442.1
985,2464.3
986,4356.8
987,3301.8
988,2798.1
989,2440.3
990,2468.2
991,5253.8
992,1667.6
993,4632.5
994,1914.1
995,1564
996,5028
997,1801.5
998,2476.4
999,7016.2
1000,1850
